respondent,trial_nr,salience,position,responseTime
2,12,low,peripheral,1669.3471604958177
2,13,high,central,951.6132343560457
2,14,low,central,768.3061729185283
2,15,high,peripheral,718.2368393987417
2,16,low,peripheral,718.8009875826538
2,17,low,central,985.7086420524865
2,18,high,central,818.4082962106913
2,19,low,central,985.1421236526221
2,20,high,peripheral,986.0566915012896
2,21,high,peripheral,885.3586171753705
2,22,low,central,1435.7629630248994
2,23,high,peripheral,767.3599999397993
2,24,high,peripheral,1018.6567900236696
2,25,high,central,651.670123450458
2,26,high,central,952.0237038377672
2,27,low,peripheral,1151.9083455204964
2,28,low,peripheral,1051.988543011248
2,29,high,central,685.1891358383
2,30,low,central,1402.5280000641942
2,31,high,central,751.4334814622998
2,32,low,peripheral,1635.459950659424
20,1,low,central,2553.7433226127177
20,2,high,peripheral,2536.4811276085675
20,3,low,peripheral,1501.8935280386358
20,4,low,peripheral,1719.0104194451123
20,5,low,peripheral,2169.7356330696493
20,6,high,central,785.6303635053337
20,7,high,peripheral,968.2402475737035
20,8,low,central,1250.968887237832
20,9,low,central,1051.7747330013663
20,10,low,peripheral,1435.79822499305
20,11,high,central,684.6219303552061
20,12,high,peripheral,784.5992539077997
20,13,low,central,1217.904643388465
20,14,high,central,583.9477190747857
20,15,low,peripheral,1285.1396973710507
20,16,low,central,1651.3585755601525
20,17,high,peripheral,715.9443502314389
20,18,low,central,1035.1319937035441
20,19,high,peripheral,616.6974944062531
20,20,low,central,717.8726433776319
20,21,low,peripheral,1484.893258428201
20,22,high,peripheral,768.0955764371902
20,23,high,peripheral,650.2377872820944
20,24,high,central,633.3987028338015
20,25,low,peripheral,1618.8588738441467
20,26,low,central,1818.4725830797106
20,27,high,central,484.50333322398365
20,28,high,central,601.3430499006063
20,29,low,peripheral,1018.2810574769974
20,30,high,peripheral,634.6755402628332
20,31,high,central,735.4781464673579
20,32,high,central,568.0117444135249
21,1,high,central,634.4938802940305
21,2,low,central,968.365024542436
21,3,low,peripheral,1452.1668946836144
21,4,low,central,1251.886321726488
21,5,high,central,700.9405238204636
21,6,high,central,851.2520894000772
21,7,high,peripheral,685.0535052071791
21,8,high,central,484.7014260594733
21,9,high,central,634.6617816016078
21,10,high,central,484.8238952399697
21,11,low,central,984.9295743042603
21,12,low,central,1035.0246064190287
21,13,high,peripheral,668.1973997619934
