respondent;block;trial_nr;sound;salience;arousal;responseTime
6;VA;29;S4;low;S4;958.798287319951
6;VA;30;S1;low;S1;1593.23758108076
6;VA;31;S4;low;S4;1452.27721112315
6;VA;32;S1;low;S1;1468.41012395453
6;VO;1;visual only;high;visual only;751.502219820395
6;VO;2;visual only;high;visual only;767.006393056363
6;VO;3;visual only;low;visual only;834.678384708241
6;VO;4;visual only;high;visual only;700.177066493779
6;VO;5;visual only;high;visual only;483.995284652337
6;VO;6;visual only;low;visual only;1884.59712057374
6;VO;7;visual only;high;visual only;698.839389486238
6;VO;8;visual only;low;visual only;1903.71333714575
6;VO;9;visual only;low;visual only;801.375918788835
6;VO;10;visual only;high;visual only;601.207938976586
6;VO;11;visual only;high;visual only;584.551767678931
6;VO;12;visual only;low;visual only;817.667448660359
6;VO;13;visual only;high;visual only;735.813553212211
6;VO;14;visual only;low;visual only;934.257486602291
6;VO;15;visual only;low;visual only;900.384552543983
6;VO;16;visual only;high;visual only;617.185790091753
6;VO;17;visual only;high;visual only;734.820764744654
6;VO;18;visual only;high;visual only;1935.95585413277
6;VO;19;visual only;high;visual only;718.692000024021
6;VO;20;visual only;low;visual only;768.058440415189
6;VO;21;visual only;low;visual only;801.307968329638
6;VO;22;visual only;low;visual only;884.927391540259
6;VO;23;visual only;high;visual only;518.268810585141
6;VO;24;visual only;low;visual only;1069.08117467538
6;VO;25;visual only;low;visual only;734.682098263875
6;VO;26;visual only;low;visual only;1302.60890442878
6;VO;27;visual only;high;visual only;717.989976517856
6;VO;28;visual only;low;visual only;867.161493981257
6;VO;29;visual only;high;visual only;701.179336523637
6;VO;30;visual only;high;visual only;584.570730570704
6;VO;31;visual only;low;visual only;801.973646273836
6;VO;32;visual only;low;visual only;1068.38626228273
7;VA;1;S4;high;S4;584.559310111217
7;VA;2;S3;high;S3;626.407458330505
7;VA;3;S1;high;S1;618.067102972418
7;VA;4;S2;high;S2;492.917917552404
7;VA;5;S1;high;S1;601.135329692625
7;VA;6;S2;high;S2;693.023043568246
7;VA;7;S3;high;S3;534.20784289483
7;VA;8;S1;high;S1;718.029097886756
7;VA;9;S2;high;S2;643.244811799377
7;VA;10;S4;high;S4;659.375596325845
7;VA;11;S1;high;S1;643.219725228846
7;VA;12;S2;high;S2;751.531359856017
7;VA;13;S1;low;S1;1734.60946325213
7;VA;14;S2;low;S2;951.025719754398
7;VA;15;S4;high;S4;1017.99923123326
7;VA;16;S3;high;S3;768.18599679973
7;VA;17;S2;low;S2;734.513068106025
7;VA;18;S4;high;S4;659.632386872545
7;VA;19;S3;high;S3;717.846974148415
7;VA;20;S1;low;S1;759.663122473285
7;VA;21;S4;low;S4;859.919043839909
7;VA;22;S3;low;S3;776.609512977302
7;VA;23;S1;low;S1;1710.77832381707
7;VA;24;S3;low;S3;901.629710569978
7;VA;25;S2;low;S2;1719.51077878475
7;VA;26;S1;low;S1;1685.74342993088
7;VA;27;S2;low;S2;1918.33017487079
7;VA;28;S4;low;S4;1118.24448592961
7;VA;29;S3;low;S3;1501.78528600372
7;VA;30;S4;low;S4;2252.88227503188
7;VA;31;S3;low;S3;968.398184631951
7;VA;32;S4;low;S4;2094.41907482687
7;VO;1;visual only;high;visual only;1786.49495681748
7;VO;2;visual only;low;visual only;2735.84640305489
7;VO;3;visual only;low;visual only;1168.57185401022
7;VO;4;visual only;high;visual only;701.439250959083
7;VO;5;visual only;high;visual only;669.763954356313
7;VO;6;visual only;high;visual only;651.220524916425
7;VO;7;visual only;low;visual only;934.80604630895
7;VO;8;visual only;high;visual only;567.967883078381
7;VO;9;visual only;low;visual only;1318.51573544554
7;VO;10;visual only;high;visual only;1034.23174424097
7;VO;11;visual only;low;visual only;2052.95176641084
7;VO;12;visual only;low;visual only;1018.46915762872
7;VO;13;visual only;high;visual only;834.863211493939
7;VO;14;visual only;low;visual only;1669.06034853309
7;VO;16;visual only;low;visual only;1419.15150894783
7;VO;17;visual only;low;visual only;1252.08681728691
7;VO;18;visual only;high;visual only;1368.19796729833
7;VO;19;visual only;high;visual only;900.495289592072
7;VO;20;visual only;high;visual only;684.707577107474
7;VO;21;visual only;low;visual only;701.285176677629
7;VO;23;visual only;high;visual only;801.389196654782
7;VO;24;visual only;high;visual only;1986.48136667907
7;VO;25;visual only;low;visual only;1769.17661516927
7;VO;26;visual only;low;visual only;1186.06718350202
7;VO;27;visual only;low;visual only;1052.09527164698
7;VO;28;visual only;low;visual only;1816.95899297483
7;VO;29;visual only;high;visual only;667.826964287087
7;VO;30;visual only;high;visual only;800.57773902081
7;VO;31;visual only;low;visual only;1385.4831235949
